Jawa Barat, Latitude, Longtitude
Kabupaten Bogor, -6.58333, 106.71667
Kabupaten Sukabumi, -7.06667, 106.7
Kabupaten Cianjur, -6.7725, 107.08306
Kabupaten Bandung, -7.1, 107.6
Kabupaten Garut, -7.38333, 107.76667
Kabupaten Tasikmalaya, -7.5, 108.13333
Kabupaten Ciamis, -7.28333, 108.41667
Kabupaten Kuningan, -7, 108.55
Kabupaten Cirebon, -6.8, 108.56667
Kabupaten Majalengka, -6.81667, 108.28333
Kabupaten Sumedang, -6.81667, 107.98333
Kabupaten Indramayu, -6.45, 108.16667
Kabupaten Subang, -6.50833, 107.7025
Kabupaten Purwakarta, -6.58333, 107.45
Kabupaten Karawang, -6.26667, 107.41667
Kabupaten Bekasi, -6.24667, 107.10833
Kabupaten Bandung Barat, -6.83333, 107.48333
Kabupaten Pangandaran, -7.6673, 108.64037
Kota Bogor, -6.59167, 106.8
Kota Sukabumi, -6.95, 106.93333
Kota Bandung, -6.9175, 107.62444
Kota Cirebon, -6.75, 108.55
Kota Bekasi, -6.28333, 106.98333
Kota Depok, -6.4, 106.81667
Kota Cimahi, -6.89167, 107.55
Kota Tasikmalaya, -7.35, 108.21667
Kota Banjar, -7.36996, 108.53209
