Jawa Timur, Latitude, Longtitude
Kabupaten Pacitan, -8.13333, 111.16667
Kabupaten Ponorogo, -7.93333, 111.5
Kabupaten Trenggalek, -8.16667, 111.61667
Kabupaten Tulungagung, -8.091030798, 111.9616697
Kabupaten Blitar, -8.13333, 112.25
Kabupaten Kediri, -7.83333, 112.16667
Kabupaten Malang, -8.16667, 112.66667
Kabupaten Lumajang, -8.11667, 113.15
Kabupaten Jember, -8.25, 113.65
Kabupaten Banyuwangi, -8.33333, 114.2
Kabupaten Bondowoso, -7.9404, 113.9834
Kabupaten Situbondo, -7.71667, 114.05
Kabupaten Probolinggo, -7.86667, 113.31667
Kabupaten Pasuruan, -7.73333, 112.83333
Kabupaten Sidoarjo, -7.45, 112.7
Kabupaten Mojokerto, -7.55, 112.5
Kabupaten Jombang, -7.55, 112.25
Kabupaten Nganjuk, -7.6, 111.93333
Kabupaten Madiun, -7.61667, 111.65
Kabupaten Magetan, -7.64472, 111.35917
Kabupaten Ngawi, -7.47444, 111.33444
Kabupaten Bojonegoro, -7.25, 111.8
Kabupaten Tuban, -6.96667, 111.9
Kabupaten Lamongan, -7.13333, 112.31667
Kabupaten Gresik, -7.1933, 112.553
Kabupaten Bangkalan, -7.05, 112.93333
Kabupaten Sampang, -7.05, 113.25
Kabupaten Pamekasan, -7.06667, 113.5
Kabupaten Sumenep, -7.11667, 114.33333
Kota Kediri, -7.83333, 112.01667
Kota Blitar, -8.1, 112.16667
Kota Malang,- -7.981894, 112.626503
Kota Probolinggo, -7.78333, 113.21667
Kota Pasuruan, -7.65, 112.9
Kota Mojokerto, -7.46667, 112.43333
Kota Madiun, -7.63333, 111.53333
Kota Surabaya, -7.26667, 112.71667
Kota Batu, -7.882826424, 112.5334543
